run_at,series_id,status,last_period,detail
2026-09-24T15:21:07+01:00,MGSX,ok,2026-07,
2026-09-24T15:21:07+01:00,MGSC,ok,2026-07,
2026-09-24T15:21:07+01:00,AP2Y,ok,2026-08,
2026-09-24T15:21:07+01:00,RTI_PAYROLLS,ok,2026-08,
2026-09-24T15:21:07+01:00,ECY2,ok,2026-07,
2026-09-24T15:21:07+01:00,D7NN,ok,2026-08,
2026-09-24T15:21:07+01:00,KAJ4,ok,2026-07,
2026-09-24T15:21:07+01:00,AGENTS_CAPACITY,ok,2026Q3,
2026-09-24T15:21:07+01:00,DMP_PRICE_1Y,ok,2026-08,
2026-09-24T15:21:07+01:00,IAS_MEDIAN_1Y,ok,2026Q3,
2026-09-24T15:36:19+01:00,MGSX,ok,2026-07,
2026-09-24T15:36:19+01:00,MGSC,ok,2026-07,
2026-09-24T15:36:19+01:00,AP2Y,ok,2026-08,
2026-09-24T15:36:19+01:00,RTI_PAYROLLS,ok,2026-08,
2026-09-24T15:36:19+01:00,ECY2,ok,2026-07,
2026-09-24T15:36:19+01:00,D7NN,ok,2026-08,
2026-09-24T15:36:19+01:00,KAJ4,ok,2026-07,
2026-09-24T15:36:19+01:00,AGENTS_CAPACITY,ok,2026Q3,
2026-09-24T15:36:19+01:00,DMP_PRICE_1Y,ok,2026-08,
2026-09-24T15:36:19+01:00,IAS_MEDIAN_1Y,ok,2026Q3,
2026-09-24T15:38:51+01:00,MGSX,ok,2026-07,
2026-09-24T15:38:51+01:00,MGSC,ok,2026-07,
2026-09-24T15:38:51+01:00,AP2Y,ok,2026-08,
2026-09-24T15:38:51+01:00,RTI_PAYROLLS,ok,2026-08,
2026-09-24T15:38:51+01:00,ECY2,ok,2026-07,
2026-09-24T15:38:51+01:00,D7NN,ok,2026-08,
2026-09-24T15:38:51+01:00,KAJ4,ok,2026-07,
2026-09-24T15:38:51+01:00,AGENTS_CAPACITY,ok,2026Q3,
2026-09-24T15:38:51+01:00,DMP_PRICE_1Y,ok,2026-08,
2026-09-24T15:38:51+01:00,IAS_MEDIAN_1Y,ok,2026Q3,
2026-09-24T15:49:14+01:00,MGSX,ok,2026-07,
2026-09-24T15:49:14+01:00,MGSC,ok,2026-07,
2026-09-24T15:49:14+01:00,AP2Y,ok,2026-08,
2026-09-24T15:49:14+01:00,RTI_PAYROLLS,ok,2026-08,
2026-09-24T15:49:14+01:00,ECY2,ok,2026-07,
2026-09-24T15:49:14+01:00,D7NN,ok,2026-08,
2026-09-24T15:49:14+01:00,KAJ4,ok,2026-07,
2026-09-24T15:49:14+01:00,D7G7,ok,2026-08,
2026-09-24T15:49:14+01:00,IUDBEDR,ok,2026-09-23,
2026-09-24T15:49:14+01:00,XUDLUSS,ok,2026-09-23,
2026-09-24T15:49:14+01:00,AGENTS_CAPACITY,ok,2026Q3,
2026-09-24T15:49:14+01:00,DMP_PRICE_1Y,ok,2026-08,
2026-09-24T15:49:14+01:00,IAS_MEDIAN_1Y,ok,2026Q3,
