# MPC announcement dates, Bank Rate decided and vote. Entered by hand from the MPC minutes (source_url). Drives the 12:15 UK MPC-day build.
date,bank_rate,vote,mpr,source_url
2024-02-01,5.25,"6-3: 6 hold; 2 hike to 5.5% (Haskel, Mann); 1 cut to 5% (Dhingra)",Y,https://www.bankofengland.co.uk/monetary-policy-summary-and-minutes/2024/february-2024
2024-03-21,5.25,8-1: 8 hold; 1 cut to 5% (Dhingra),N,https://www.bankofengland.co.uk/monetary-policy-summary-and-minutes/2024/march-2024
2024-05-09,5.25,"7-2: 7 hold; 2 cut to 5% (Dhingra, Ramsden)",Y,https://www.bankofengland.co.uk/monetary-policy-summary-and-minutes/2024/may-2024
2024-06-20,5.25,"7-2: 7 hold; 2 cut to 5% (Dhingra, Ramsden)",N,https://www.bankofengland.co.uk/monetary-policy-summary-and-minutes/2024/june-2024
2024-08-01,5.00,"5-4: 5 cut to 5%; 4 hold at 5.25% (Greene, Haskel, Mann, Pill)",Y,https://www.bankofengland.co.uk/monetary-policy-summary-and-minutes/2024/august-2024
2024-09-19,5.00,8-1: 8 hold; 1 cut to 4.75% (Dhingra),N,https://www.bankofengland.co.uk/monetary-policy-summary-and-minutes/2024/september-2024
2024-11-07,4.75,8-1: 8 cut to 4.75%; 1 hold at 5% (Mann),Y,https://www.bankofengland.co.uk/monetary-policy-summary-and-minutes/2024/november-2024
2024-12-19,4.75,"6-3: 6 hold; 3 cut to 4.5% (Dhingra, Ramsden, Taylor)",N,https://www.bankofengland.co.uk/monetary-policy-summary-and-minutes/2024/december-2024
2025-02-06,4.50,"7-2: 7 cut to 4.5%; 2 cut 50bp to 4.25% (Dhingra, Mann)",Y,https://www.bankofengland.co.uk/monetary-policy-summary-and-minutes/2025/february-2025
2025-03-20,4.50,8-1: 8 hold; 1 cut to 4.25% (Dhingra),N,https://www.bankofengland.co.uk/monetary-policy-summary-and-minutes/2025/march-2025
2025-05-08,4.25,"5-4: 5 cut to 4.25%; 2 cut 50bp to 4% (Dhingra, Taylor); 2 hold at 4.5% (Mann, Pill)",Y,https://www.bankofengland.co.uk/monetary-policy-summary-and-minutes/2025/may-2025
2025-06-19,4.25,"6-3: 6 hold; 3 cut to 4% (Dhingra, Ramsden, Taylor)",N,https://www.bankofengland.co.uk/monetary-policy-summary-and-minutes/2025/june-2025
2025-08-07,4.00,"5-4 (two-round vote): round 1 = 4 cut to 4%, 4 hold at 4.25% (Greene, Lombardelli, Mann, Pill), 1 cut 50bp to 3.75% (Taylor); final 5-4 to cut to 4%",Y,https://www.bankofengland.co.uk/monetary-policy-summary-and-minutes/2025/august-2025
2025-09-18,4.00,"7-2: 7 hold; 2 cut to 3.75% (Dhingra, Taylor)",N,https://www.bankofengland.co.uk/monetary-policy-summary-and-minutes/2025/september-2025
2025-11-06,4.00,"5-4: 5 hold; 4 cut to 3.75% (Breeden, Dhingra, Ramsden, Taylor)",Y,https://www.bankofengland.co.uk/monetary-policy-summary-and-minutes/2025/november-2025
2025-12-18,3.75,"5-4: 5 cut to 3.75%; 4 hold at 4% (Greene, Lombardelli, Mann, Pill)",N,https://www.bankofengland.co.uk/monetary-policy-summary-and-minutes/2025/december-2025
2026-02-05,3.75,"5-4: 5 hold; 4 cut to 3.5% (Breeden, Dhingra, Ramsden, Taylor)",Y,https://www.bankofengland.co.uk/monetary-policy-summary-and-minutes/2026/february-2026
2026-03-19,3.75,9-0: unanimous hold,N,https://www.bankofengland.co.uk/monetary-policy-summary-and-minutes/2026/march-2026
2026-04-30,3.75,8-1: 8 hold; 1 hike to 4% (Pill),Y,https://www.bankofengland.co.uk/monetary-policy-summary-and-minutes/2026/april-2026
2026-06-18,3.75,"7-2: 7 hold; 2 hike to 4% (Greene, Pill)",N,https://www.bankofengland.co.uk/monetary-policy-summary-and-minutes/2026/june-2026
2026-07-30,3.75,"6-3: 6 hold; 3 hike to 4% (Greene, Mann, Pill)",Y,https://www.bankofengland.co.uk/monetary-policy-summary-and-minutes/2026/july-2026
2026-09-17,3.75,"6-3: 6 hold; 3 hike to 4% (Greene, Mann, Pill)",N,https://www.bankofengland.co.uk/monetary-policy-summary-and-minutes/2026/september-2026
2026-11-05,,,Y,https://www.bankofengland.co.uk/monetary-policy/upcoming-mpc-dates
2026-12-17,,,N,https://www.bankofengland.co.uk/monetary-policy/upcoming-mpc-dates
2027-02-04,,,Y,https://www.bankofengland.co.uk/monetary-policy/upcoming-mpc-dates
2027-03-18,,,N,https://www.bankofengland.co.uk/monetary-policy/upcoming-mpc-dates
2027-04-29,,,Y,https://www.bankofengland.co.uk/monetary-policy/upcoming-mpc-dates
2027-06-17,,,N,https://www.bankofengland.co.uk/monetary-policy/upcoming-mpc-dates
2027-07-29,,,Y,https://www.bankofengland.co.uk/monetary-policy/upcoming-mpc-dates
2027-09-16,,,N,https://www.bankofengland.co.uk/monetary-policy/upcoming-mpc-dates
2027-11-04,,,Y,https://www.bankofengland.co.uk/monetary-policy/upcoming-mpc-dates
2027-12-16,,,N,https://www.bankofengland.co.uk/monetary-policy/upcoming-mpc-dates
