# MPR inputs, entered by hand from each Monetary Policy Report (source_url). Checked by the team: NO (confirm).
# cpi_1y/cpi_2y: CPI projection (modal/baseline/central) for the quarter one/two years ahead. Apr 2026 had no central projection: Scenario B used (confirm).
# u_star: MPC equilibrium unemployment (blank = not stated in that MPR; the latest stated value is used).
# potential_growth: annual %, first year given (blank = not stated or not annual).
mpr_date,cpi_1y_quarter,cpi_1y,cpi_2y_quarter,cpi_2y,u_star,potential_growth,source_url,notes
2024-02-01,2025Q1,2.8,2026Q1,2.3,4.5,1.0,https://www.bankofengland.co.uk/monetary-policy-report/2024/february-2024,Potential growth as published: 1.0 (2024); 1.2 (2025). Table 1.A modal (mean 3.0/2.3). Current qtr 2024Q1 3.6; 2024Q2 2.0 (Table 1.C). u*: medium-term 'around 4½%'; long-term 'just above 4%' (supply stocktake Sec 3). Potential: Table 3.A 2024 1.0; 2025 1.2; 2026 1.3
2024-05-09,2025Q2,2.6,2026Q2,1.9,4.5,1.5,https://www.bankofengland.co.uk/monetary-policy-report/2024/may-2024,Potential growth as published: ~1.5 (avg next 3 yrs). Table 1.A (modal). Current qtr 2024Q2 2.0; 2024Q3 2.2. u* 'just over 4½%'. Supply growth 'rise to around 1¾% mid-forecast; average 1½% over next three years' (after ONS population revisions)
2024-08-01,2025Q3,2.4,2026Q3,1.7,4.5,1.5,https://www.bankofengland.co.uk/monetary-policy-report/2024/august-2024,Potential growth as published: ~1.5 (yrs 2-3). Table 1.A modal (mean 2.5/2.0). Current qtr 2024Q3 2.3; 2024Q4 2.7. u* 'around 4½%' medium-term. Supply growth 'around 1½% during second and third years'
2024-11-07,2025Q4,2.7,2026Q4,2.2,4.5,,https://www.bankofengland.co.uk/monetary-policy-report/2024/november-2024,Potential growth as published: NOT FOUND. Table 1.A. Current qtr 2024Q4 2.4; 2025Q1 2.4. u* 'around 4½%'. Potential: no numeric; Committee 'has not adjusted its judgements on potential supply growth' (beyond small NICs effect)
2025-02-06,2026Q1,3.0,2027Q1,2.3,4.5,1.0,https://www.bankofengland.co.uk/monetary-policy-report/2025/february-2025,Potential growth as published: 1.0 (2025); 1.7 (2026). Table 1.A. Current qtr 2025Q1 2.8; peak 3.7 in 2025Q3 (Table 1.C). u* 'around 4½%'. Potential: Box E Table 1: 2024 1.5; 2025 1.0 ('just under 1%'); 2026 1.7; 2027 1.5
2025-05-08,2026Q2,2.4,2027Q2,1.9,4.5,1.5,https://www.bankofengland.co.uk/monetary-policy-report/2025/may-2025,Potential growth as published: ~1.5 (medium term). Table 1.A 'baseline'. Current qtr 2025Q2 3.4; 2025Q3 3.5. u* 'just over 4½%'. Potential 'around 1½% in the medium term'
2025-08-07,2026Q3,2.7,2027Q3,2.0,4.5,1.5,https://www.bankofengland.co.uk/monetary-policy-report/2025/august-2025,"Potential growth as published: ~1.5 (medium term). Table 1.A 'baseline'. Current qtr 2025Q3 3.8; 2025Q4 3.6. u* 'just over 4½%'. Potential 'weaken slightly mid-forecast, recover to around 1½% medium term'; revised down avg 0.2pp/yr (lower migration)"
2025-11-06,2026Q4,2.5,2027Q4,2.0,4.75,1.4,https://www.bankofengland.co.uk/monetary-policy-report/2025/november-2025,Potential growth as published: ~1.4 (per year). Table 3.A 'central projection' (not labelled modal). Current qtr 2025Q4 3.5. u* medium-term equilibrium 'around 4¾%'. Potential 'around 1.4% a year'
2026-02-05,2027Q1,1.7,2028Q1,1.8,4.75,1.3,https://www.bankofengland.co.uk/monetary-policy-report/2026/february-2026,Potential growth as published: 1.3 (2026); 1.3 (2027). Table 3.A central projection. Current qtr 2026Q1 3.0. u*: NAIRU 'expected to be around 4¾% in three years' (Sec 3.2). Potential: Box C Table C.A 2026 1.3; 2027 1.3; 2028 1.4; assumed long-run trend 1.5
2026-04-30,2027Q2,3.2,2028Q2,2.0,,,https://www.bankofengland.co.uk/monetary-policy-report/2026/april-2026,"Potential growth as published: ~0.3-0.4 q/q (staff near-term). NO CENTRAL PROJECTION: three scenarios only (Table 3.B). Values shown = Scenario B (modest second-round effects). Scenario A: 2027Q2 2.9 / 2028Q2 1.5; Scenario C: 5.6 / 2.9. Current qtr 2026Q2 3.1 (A,B) / 3.6 (C). u* not stated numerically. Potential: staff estimate 'around 0.3%-0.4%' is QUARTERLY"
2026-07-30,2027Q3,2.6,2028Q3,1.8,,,https://www.bankofengland.co.uk/monetary-policy-report/2026/july-2026,Potential growth as published: ~0.3-0.4 q/q (staff near-term). Table 3.B central projection (market-rate conditioned; majority of MPC agrees reasonable baseline). Milder 2.4/1.7; Adverse 4.1/2.8. Current qtr 2026Q3 2.9. u* not stated numerically. Potential: staff estimate 'around 0.3%-0.4%' QUARTERLY. PDF: https://www.bankofengland.co.uk/-/media/boe/files/monetary-policy-report/2026/july/monetary-policy-report-july-2026.pdf
