# Real neutral rate (r*) estimates, % (source, low, high, date). The team sets the range used in config/weights.yaml; the agent does not choose it.
# basis says where a nominal figure was converted to real by subtracting 2. Rows without numbers are kept for reference.
source,author,date,low,high,basis,url,notes
MPR Feb 2025 Box A,BoE staff/MPC,2025-02-06,0.0,1.0,real (converted from nominal 2-3%),https://www.bankofengland.co.uk/monetary-policy-report/2025/february-2025,"Reference point: Aug 2018 Inflation Report long-run equilibrium rate 2%-3% NOMINAL (minus 2 = 0-1 real). Box says R* rose since 2018: macro models +25 to +75bp; market-based >+90bp; MaPS +150bp; Consensus <+25bp. Implied 2025 real range ~0.25-1.75 is DERIVED by me, not stated"
MPR Nov 2025 Annex 1 (policy rules),BoE staff,2025-11-06,1.0,1.0,real (stated; nominal i*=3%),https://www.bankofengland.co.uk/-/media/boe/files/monetary-policy-report/2025/november/annex1.pdf,"'i* is constant and assumed to be 3% annually, consistent with 2% CPI objective and an illustrative long-run trend equilibrium real rate of 1%'. Taylor (Jun 2026) says COMPASS embeds staff central nominal neutral of 3%"
Speech 'The last half mile' (Leeds),Alan Taylor,2025-01-15,0.5,1.0,real,https://www.bankofengland.co.uk/speech/2025/january/alan-taylor-speech-at-leeds-university-inflation-dynamics-and-outlook,Cites private-sector central r* estimates 0.5% (PIMCO) to 0.75-1.0% (Goldman Sachs); takes 0.75% as central -> terminal nominal 2.75%
Speech 'Unexpected curves' (ECB Sintra panel),Alan Taylor,2025-07-02,0.75,1.0,real (stated; nominal 2.75-3),https://www.bankofengland.co.uk/speech/2025/july/alan-taylor-panellist-at-ecb-forum-on-central-banking-2025,"'I estimate the UK neutral real rate to be about 0.75 to 1 percent, putting the neutral nominal rate at around 2.75 to 3 percent'"
Speech 'The end of the road' (LSE),Alan Taylor,2025-07-04,0.25,1.25,real (converted from nominal 2.25-3.25),https://www.bankofengland.co.uk/-/media/boe/files/speech/2025/july/the-end-of-the-road-speech-by-alan-taylor.pdf,Point r* ~0.75% real for 2025Q1 (Davis et al 2024 model); nominal neutral 2.75% with band 2.25%-3.25% (95% posterior interval)
MPC minutes Dec 2025 (member view),Alan Taylor,2025-12-18,1.0,1.0,real (converted from nominal ~3%),https://www.bankofengland.co.uk/monetary-policy-summary-and-minutes/2025/december-2025,'I see neutral at about 3%'
MPC minutes Feb 2026 (member view),Dave Ramsden,2026-02-05,1.0,1.0,real (converted from nominal ~3%),https://www.bankofengland.co.uk/monetary-policy-summary-and-minutes/2026/february-2026,'my starting point for an estimate of the neutral rate of around 3%'
MPC minutes Feb 2026 (member view),Alan Taylor,2026-02-05,1.0,1.0,real (converted from nominal 3%),https://www.bankofengland.co.uk/monetary-policy-summary-and-minutes/2026/february-2026,'a neutral rate of 3% should be in our sights now'
MPC minutes Apr 2026 (member view),Alan Taylor,2026-04-30,1.0,1.0,real (converted from nominal 3%),https://www.bankofengland.co.uk/monetary-policy-summary-and-minutes/2026/april-2026,'Given neutral at 3%...'
MPC minutes Jun 2026 (member view),Alan Taylor,2026-06-18,1.0,1.0,real (converted; nominal 3% DERIVED),https://www.bankofengland.co.uk/monetary-policy-summary-and-minutes/2026/june-2026,"'Policy is restrictive, 75 basis points above my estimate of neutral' with Bank Rate 3.75% -> 3% nominal (derived)"
Speech 'Central reservations' (Barclays/CEPR),Alan Taylor,2026-06-23,1.0,1.0,real (converted from nominal 3%),https://www.bankofengland.co.uk/speech/2026/june/alan-taylor-speech-at-the-barclays-and-centre-for-economic-policy-research,COMPASS 'now embeds the staff's assessment of a central estimate of the UK nominal neutral rate of 3%'; 'equates with my own central estimate'
MPC minutes Sep 2026 (member view),Alan Taylor,2026-09-17,1.0,1.0,real (converted from nominal 3%),https://www.bankofengland.co.uk/monetary-policy-summary-and-minutes/2026/september-2026,'Bank Rate remains materially above my estimate of neutral at 3%'
Bloomberg interview (SECONDARY source),Swati Dhingra,2024-12-06,0.5,1.5,real (converted from nominal 2.5-3.5),https://www.gurufocus.com/news/2625815/bank-of-englands-dhingra-advocates-for-gradual-rate-cuts-amid-economic-pressures,UNVERIFIED on BoE site: paraphrase 'stabilization between 2.5% and 3.5%' nominal; Bloomberg video (2024-12-06) returned 403. Date inferred from Bloomberg URL
MaPS survey via MPC minutes Mar 2024,Market participants (median),2024-03-21,1.25,1.25,real (converted from nominal 3.25%),https://www.bankofengland.co.uk/monetary-policy-summary-and-minutes/2024/march-2024,Not an MPC estimate: median MaPS respondent perceived neutral rate 3.25% nominal
Speech 'Are we there yet?' (Leeds),Megan Greene,2023-11-30,,,real,https://www.bankofengland.co.uk/speech/2023/november/megan-greene-speech-at-leeds-university,NO NUMBERS in text: says estimates 'consistently suggest medium-term real neutral rates have risen'; values only in chart
Panel slides 'The neutral rate of interest...' (BoE Watchers),Catherine L Mann,2025-05-12,,,,https://www.bankofengland.co.uk/speech/2025/may/catherine-l-mann-panellist-at-the-boe-bank-watchers-conference,NO point/range for r* found in slides text; framework (r - r*) and MaPS nominal rate gap only
